NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
51	DRAW/PAINT	647	PAINT (PIGMENTS)	4
51	DRAW/PAINT	1455	PULL	4
51	DRAW/PAINT	3194	PAINT (SOMETHING) OR PAINTING	4
51	DRAW/PAINT	3122	PAINT (SOMETHING)	4
51	DRAW/PAINT	2001	PAINTING	4
#>>>				
52	DRESS_UP		814 DRESS UP	
#<<<				
53	DRINK	731	BEVERAGE	2
53	DRINK	1401	DRINK	2
#>>>				
#<<<				
54	DRY	1398	DRY	2
54	DRY	1786	DRY UP	2
#>>>				
#<<<				
55	DRY (state)	1398	DRY	4
55	DRY (state)	2273	LEECH	4
55	DRY (state)	2015	MAKE DRY	4
55	DRY (state)	3364	DRY IN SUN	4
55	DRY (state)	1786	DRY UP	4
#>>>				
#<<<				
56	EARTH/LAND	965	WORLD	4
56	EARTH/LAND	1228	EARTH (SOIL)	4
56	EARTH/LAND	1300	COUNTRY	4
56	EARTH/LAND	2273	LEECH	4
56	EARTH/LAND	212	FIELD	4
56	EARTH/LAND	1922	LAND (DESCEND)	4
56	EARTH/LAND	626	LAND	4
56	EARTH/LAND	3603	EARTH OR LAND	4
56	EARTH/LAND	2159	GROUND	4
56	EARTH/LAND	166	MAINLAND	4
#>>>				
57	EAT	1336	EAT	2
58	EGG	744	EGG	2
59	ENTER	749	ENTER	2
60	EYE	1248	EYE	2
61	FACE	1560	FACE	2
62	FAR	1406	FAR	2
#<<<				
63	FAT/GREASE	323	FAT (ORGANIC SUBSTANCE)	2
63	FAT/GREASE	1282	FAT (FROM ANIMALS)	2
#>>>				
64	FATHER	1217	FATHER	2
#<<<				
65	FEAR	1419	FEAR (BE AFRAID)	2
65	FEAR	781	FEAR (FRIGHT)	2
#>>>				
66	FINGER	1303	FINGER	2
67	FIRE	221	FIRE	2
68	FIREFLY	206	FIREFLY	2
69	FIREWOOD	10	FIREWOOD	2
#<<<				
70	FISH	227	FISH	2
70	FISH	2638	FISHING	2
#>>>				
71	FLAT	1633	FLAT	2
#<<<				
72	FLESH	2259	FLESH	2
72	FLESH	2615	FLESH OR MEAT	2
#>>>				
73	FLOUR	1594	FLOUR	2
74	FLOWER	239	FLOWER	2
#<<<				
75	FLY	1504	FLY (INSECT)	2
75	FLY	1441	FLY (MOVE THROUGH AIR)	2
#>>>				
76	FLY (n)	1504	FLY (INSECT)	2
#<<<				
77	FOOT	1301	FOOT	2
77	FOOT	2098	FOOT OR LEG	2
#>>>				
78	FOUR	1500	FOUR	2
79	FROG	503	FROG	2
80	FRUIT	1507	FRUIT	2
81	FULL	1429	FULL	2
82	GATHER	7	GATHER	2
83	GIRL	1646	GIRL	2
#<<<				
84	GIVE	1447	GIVE	2
84	GIVE	196	DONATE	2
#>>>				
85	GO	695	GO	2
86	GO_UP		705 GO UP (ASCEND)	
87	GOOD	1035	GOOD	2
88	GRANDFATHER	1383	GRANDFATHER	2
89	GRASS	606	GRASS	2
90	GREEN	1425	GREEN	2
91	GROW	479	GROW	2
92	HAND	1277	HAND	2
#<<<				
93	HAIR	2648	HAIR (HEAD)	2
93	HAIR	1040	HAIR	2
93	HAIR	2381	FEATHER OR FUR OR HAIR	2
#>>>				
94	HAMMOCK	2019	HAMMOCK	2
95	HAPPY	1495	HAPPY	2
96	HAWK	307	HAWK	2
97	HEAL	499	CURE	4
#<<<				
98	HEAR/LISTEN	1608	LISTEN	4
98	HEAR/LISTEN	1408	HEAR	4
98	HEAR/LISTEN	2126	EAR OR HEAR	4
98	HEAR/LISTEN	1635	OBEY	4
98	HEAR/LISTEN	1247	EAR	4
#>>>				
99	HEART	1223	HEART	2
100	HEAVY	1210	HEAVY	2
101	HEDGEHOG	1797	HEDGEHOG	2
#<<<				
102	HELP	1897	HELP	2
102	HELP	3467	HELP (ASSISTANCE)	2
#>>>				
103	HEN	1514	HEN	2
#<<<				
104	HIDE	2485	HIDE (ONESELF)	2
104	HIDE	2486	HIDE	2
104	HIDE	602	HIDE (CONCEAL)	2
104	HIDE	3326	LEATHER OR HIDE	2
#>>>				
#<<<				
105	HIT	353	STRIKE	2
105	HIT	1433	HIT	2
105	HIT	3309	STRIKE (SOMETHING)	2
#>>>				
106	HOLE	1667	HOLE	2
#<<<				
107	HOT	1286	HOT	2
107	HOT	2272	HOT OR WARM	2
#>>>				
108	HOUSE	1252	HOUSE	2
109	HOWLER_MONKEY		433 HOWLER MONKEY	
110	HUSBAND	1200	HUSBAND	2
#<<<				
111	JACARÉ/CAIMAN/CROCODILE	2438	CAIMAN	4
111	JACARÉ/CAIMAN/CROCODILE	1857	CROCODILE	4
#>>>				
112	JAGUAR	1250	JAGUAR	2
113	KILL	1417	KILL	2
114	KNEE	1371	KNEE	2
115	KNIFE	1352	KNIFE	2
#<<<				
116	KNOW	3626	KNOW	2
116	KNOW	1410	KNOW (SOMETHING)	2
116	KNOW	2248	KNOW (SOMEBODY)	2
#>>>				
117	LAKE	624	LAKE	2
118	LAUGH	1355	LAUGH	2
#<<<				
119	LEAF	628	LEAF	2
119	LEAF	2250	LEAF (LEAFLIKE OBJECT)	2
#>>>				
120	LEARN	504	LEARN	2
121	LEG	1297	LEG	2
#<<<				
122	LIE	1411	LIE (REST)	2
122	LIE	215	LIE DOWN	2
122	LIE	2826	LIE (FALSEHOOD)	2
122	LIE	601	LIE (MISLEAD)	2
#>>>				
123	LIVER	1224	LIVER	2
#<<<				
124	LONG	1203	LONG	2
124	LONG	3473	LONG (FOR SOMETHING)	2
124	LONG	418	FOR A LONG TIME	2
#>>>				
125	LOOK_AT		1819  LOOK	
126	LOOSE_oneS		432 GET LOST	
#<<<				
127	LOUSE	1392	LOUSE	2
127	LOUSE	310	HEAD LOUSE	2
#>>>				
#<<<				
128	MAN	1554	MAN	2
128	MAN	2106	MALE PERSON	2
128	MAN	683	PERSON	2
#>>>				
129	MANIOC	925	CASSAVA	2
#<<<				
130	MANY	1198	MANY	2
130	MANY	3453	MANY PIECES	2
#>>>				
131	MEDICINE	1372	MEDICINE	2
132	MONKEY	1350	MONKEY	2
133	MOON	1313	MOON	2
134	MONTAIN		???	
135	MOSQUITO	1509	MOSQUITO	2
136	MOTHER	1216	MOTHER	2
137	MOTHER_IN_LAW (2)		???	
#<<<				
138	MOULD	3251	MOLD (GET ROTTEN)	2
138	MOULD	1166	MOULD	2
#>>>				
139	MOUSTACHE	1165	MOUSTACHE	2
140	NAIL/CLAW	2128	CLAW OR NAIL	2
#<<<				
141	NAME	1405	NAME	2
141	NAME	180	CALL BY NAME	2
#>>>				
142	NECK	1333	NECK	2
#<<<				
143	NEST	539	NEST	2
143	NEST	3549	BIRD NEST	2
#>>>				
144	NEW	1231	NEW	2
145	NIGHT	1233	NIGHT	2
146	NOSE	1221	NOSE	2
147	ONE	1493	ONE	2
148	OTHER_SOME		???	
149	PACA	316	PACA	2
#<<<				
150	PAIN/HURT	2411	HURT (SOMEBODY)	4
150	PAIN/HURT	1783	PAIN	4
150	PAIN/HURT	44	INJURE	4
150	PAIN/HURT	1129	PAINFUL	4
150	PAIN/HURT	2561	HURT (SENSE PAIN)	4
#>>>				
151	PARROT	882	PARROT	2
152	PATH	2252	PATH	2
153	PENIS	1222	PENIS	2
154	PERSON_HB_SOMEONE		???	
155	PIERCE	398	PIERCE	2
156	PINEAPPLE	2440	PINEAPPLE	2
157	PLAY	1413	PLAY	2
#<<<				
158	PLAY (2) (CAUSE TO JUMP)	3125	PLAY (GAME)	4
158	PLAY (2) (CAUSE TO JUMP)	3124	PLAY (INSTRUMENT)	4
158	PLAY (2) (CAUSE TO JUMP)	1413	PLAY	4
#>>>				
#<<<				
159	PORRIDGE	2049	CONGEE	2
159	PORRIDGE	3651	MUSH (FOOD)	2
#>>>				
160	PUMPKIN	864	PUMPKIN	2
161	PUT	998	PUT	2
#<<<				
162	RAIN	658	RAIN (PRECIPITATION)	2
162	RAIN	2108	RAINING OR RAIN	2
162	RAIN	1253	RAIN (RAINING)	2
#>>>				
#<<<				
163	RAT	1490	RAT	2
163	RAT	1491	MOUSE	2
#>>>				
164	RAW	1959	RAW	2
#<<<				
165	RED	156	RED	2
165	RED	388	FISHNET	2
#>>>				
#<<<				
166	RETURN	581	COME BACK	2
166	RETURN	85	GIVE BACK	2
#>>>				
167	RIPE	178	RIPE	2
#<<<				
168	RIVER	666	RIVER	2
168	RIVER	3311	FLOWING BODY OF WATER	2
#>>>				
169	ROOT	670	ROOT	2
170	ROPE	1218	ROPE	2
#<<<				
171	ROUND	1395	ROUND	2
171	ROUND	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	2
#>>>				
172	RUN	1519	RUN	2
173	SAD(NESS)	699	SAD	4
174	SALIVA	1503	SALIVA	2
175	SALT	1274	SALT	2
176	SAND	671	SAND	2
#<<<				
177	SCARE	252	FRIGHTEN	4
177	SCARE	2109	FEAR OR FRIGHTEN	4
#>>>				
178	SEE	1409	SEE	2
179	SEED	714	SEED	2
180	SEEK	1468	LOOK FOR	2
181	SEND	1127	SEND	2
182	SHARPEN	251	SHARPEN (SOMETHING)	2
#<<<				
183	SHELL/BARK	2127	BARK OR SKIN	4
183	SHELL/BARK	3660	SHELL (SOMETHING)	4
183	SHELL/BARK	598	SHELL	4
183	SHELL/BARK	1204	BARK	4
183	SHELL/BARK	1206	BARKING	4
#>>>				
184	SICK/ILL	1847	SICK	2
185	SISTER	1263	SISTER	2
#<<<				
186	SIT	1649	SIT DOWN	2
186	SIT	1416	SIT	2
#>>>				
#<<<				
187	SLEEP	1585	SLEEP	2
187	SLEEP	2972	SLEEP (STATE)	2
#>>>				
188	SMALL	1246	SMALL	2
#<<<				
189	SMOKE	2859	SMOKE (EMIT SMOKE)	2
189	SMOKE	778	SMOKE (EXHAUST)	2
189	SMOKE	1689	SMOKE (INHALE)	2
#>>>				
190	SNAKE	730	SNAKE	2
191	SNORE	1983	SNORE	2
192	SON	1620	SON	2
193	SOUR/ACID	1906	SOUR	4
194	SPEAK	1623	SPEAK	2
195	SPIDER	843	SPIDER	2
196	STAR	1430	STAR	2
197	STINGRAY	1910	STINGRAY	2
#<<<				
198	STOMACH	819	STOMACH	2
198	STOMACH	1251	BELLY	2
#>>>				
#<<<				
199	STONE	1762	STONE (OF FRUIT)	2
199	STONE	857	STONE	2
#>>>				
200	STRONG	785	STRONG	2
201	SUCK	1421	SUCK	2
202	SUN	1343	SUN	2
203	SWEEP	230	SWEEP	2
204	SWEET	717	SWEET	2
205	SWEET_POTATO		???	
206	SWIMM		???	
207	TAIL	1220	TAIL	2
208	TAPIR	312	TAPIR	2
209	TEACH	709	TEACH	2
#<<<				
210	TELL/NARRATE	1711	TELL	4
210	TELL/NARRATE	1458	SAY	4
210	TELL/NARRATE	601	LIE (MISLEAD)	4
#>>>				
#<<<				
211	TERMINATE/FINISH	1928	CEASE	4
211	TERMINATE/FINISH	1766	FINISH	4
211	TERMINATE/FINISH	743	END (OF TIME)	4
211	TERMINATE/FINISH	2115	CEASE OR FINISH	4
#>>>				
212	TERMITE	883	TERMITE	2
213	TESTICLES	797	TESTICLES	2
#<<<				
214	THICK	1244	THICK	2
214	THICK	2239	DENSE	2
#>>>				
215	THING	738	THING	2
216	THREE	492	THREE	2
217	THORN	124	THORN	2
#<<<				
218	THUNDER	1150	THUNDER	2
218	THUNDER	2378	THUNDER (VERB)	2
#>>>				
219	THROAT	1346	THROAT	2
220	TICK	1527	TICK	2
#<<<				
221	TIE	1917	TIE	2
221	TIE	760	KNOT	2
221	TIE	3711	TIE (NOUN)	2
#>>>				
222	TIRED	1757	TIRED	2
223	TOBACCO	974	TOBACCO	2
224	TOMORROW	1329	TOMORROW	2
225	TONGUE	1205	TONGUE	2
226	TREE	906	TREE	2
#<<<				
227	TURTLE	895	TORTOISE	2
227	TURTLE	112	TURTLE	2
#>>>				
#<<<				
228	TWO	1384	SECOND	2
228	TWO	1498	TWO	2
#>>>				
229	UGLY	1548	UGLY	2
#<<<				
230	UNCLE (MoBr)	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	4
230	UNCLE (MoBr)	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	4
230	UNCLE (MoBr)	2690	UNCLE (HUSBAND OF FATHER'S SISTER)	4
230	UNCLE (MoBr)	2387	UNCLE OR FATHER-IN-LAW	4
230	UNCLE (MoBr)	1327	UNCLE	4
230	UNCLE (MoBr)	2694	MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT)	4
230	UNCLE (MoBr)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	4
230	UNCLE (MoBr)	2682	AUNT OR UNCLE	4
230	UNCLE (MoBr)	3220	MATERNAL UNCLE	4
#>>>				
231	UNTIE	352	UNTIE	2
232	URINATE	592	PISS	2
233	VEIN	1924	VEIN	2
234	VOMIT	1278	VOMIT	2
235	VULTURE	1185	VULTURE	2
#<<<				
236	WALK	1443	WALK	2
236	WALK	2979	WALK (MANNER)	2
#>>>				
237	WANT	1784	WANT	2
#<<<				
238	WASH	1453	WASH	2
238	WASH	3371	WASH (ONESELF)	2
#>>>				
239	WASP	1517	WASP	2
#<<<				
240	WATER	948	WATER	2
240	WATER	3078	IRRIGATE	2
240	WATER	2516	WATER BUFFALO	2
#>>>				
241	WE (EXCL)	1130	WE (EXCLUSIVE)	2
242	WE (incl)	1131	WE (INCLUSIVE)	2
243	WET	1726	WET	2
244	WHITE	1335	WHITE	2
245	WIFE	1199	WIFE	2
246	WIND	960	WIND	2
247	WING	1257	WING	2
248	WING (2)	1257	WING	4
249	WOMAN	962	WOMAN	2
#<<<				
250	WORM	2350	EARTHWORM	2
250	WORM	1219	WORM	2
#>>>				
251	YELLOW	1424	YELLOW	2
252	YOU (sg)	1215	THOU	2
#	237/252	94%	

